state,year,crime_type,incident_count
AZ,2022,burglary,9429
AZ,2022,motor_vehicle_theft,7327
AZ,2023,burglary,8620
AZ,2023,motor_vehicle_theft,8517
AZ,2024,burglary,9299
AZ,2024,motor_vehicle_theft,10150
CA,2022,burglary,50699
CA,2022,motor_vehicle_theft,64168
CA,2023,burglary,70090
CA,2023,motor_vehicle_theft,100378
CA,2024,burglary,74779
CA,2024,motor_vehicle_theft,92757
NV,2022,burglary,13882
NV,2022,motor_vehicle_theft,15646
NV,2023,burglary,12840
NV,2023,motor_vehicle_theft,21715
NV,2024,burglary,11571
NV,2024,motor_vehicle_theft,15611
UT,2022,burglary,6206
UT,2022,motor_vehicle_theft,6513
UT,2023,burglary,5402
UT,2023,motor_vehicle_theft,4972
UT,2024,burglary,4942
UT,2024,motor_vehicle_theft,4139
